"id","block","refClass","appliance","pct_goal","rounded","state","calc","edu","els","pct","family","state_avg","plan","value"
"s2_100",1,"kWh","AC","10%","Rounded","Colorado","Calculator","Highschool diploma or GED",0.875,0.1,1000,498,"plan1",500
"s2_100",1,"kWh","AC","10%","Rounded","Colorado","Calculator","Highschool diploma or GED",0.875,0.1,1000,498,"plan2",300
"s2_100",1,"kWh","HEAT","10%","Rounded","Colorado","Calculator","Highschool diploma or GED",0.875,0.1,18000,16411,"plan1",15000
"s2_100",1,"kWh","HEAT","10%","Rounded","Colorado","Calculator","Highschool diploma or GED",0.875,0.1,18000,16411,"plan2",12000
"s2_100",1,"kWh","WATER","10%","Rounded","Colorado","Calculator","Highschool diploma or GED",0.875,0.1,12000,5832,"plan1",6000
"s2_100",1,"kWh","WATER","10%","Rounded","Colorado","Calculator","Highschool diploma or GED",0.875,0.1,12000,5832,"plan2",2000
"s2_100",1,"kWh","REFRIG","10%","Rounded","Colorado","Calculator","Highschool diploma or GED",0.875,0.1,1000,1142,"plan1",2000
"s2_100",1,"kWh","REFRIG","10%","Rounded","Colorado","Calculator","Highschool diploma or GED",0.875,0.1,1000,1142,"plan2",500
"s2_100",1,"kWh","OTHER","10%","Rounded","Colorado","Calculator","Highschool diploma or GED",0.875,0.1,8000,6652,"plan1",7000
"s2_100",1,"kWh","OTHER","10%","Rounded","Colorado","Calculator","Highschool diploma or GED",0.875,0.1,8000,6652,"plan2",500
"s2_100",1,"kWh","TOTAL","10%","Rounded","Colorado","Calculator","Highschool diploma or GED",0.875,0.1,40000,30535,"plan1",30500
"s2_100",1,"kWh","TOTAL","10%","Rounded","Colorado","Calculator","Highschool diploma or GED",0.875,0.1,40000,30535,"plan2",15300
"s2_100",2,"kWh","AC","15%","Not Rounded","Texas","Calculator","Highschool diploma or GED",0.875,0.15,6573,4249,"plan1",5573
"s2_100",2,"kWh","AC","15%","Not Rounded","Texas","Calculator","Highschool diploma or GED",0.875,0.15,6573,4249,"plan2",4573
"s2_100",2,"kWh","HEAT","15%","Not Rounded","Texas","Calculator","Highschool diploma or GED",0.875,0.15,6118,5099,"plan1",5118
"s2_100",2,"kWh","HEAT","15%","Not Rounded","Texas","Calculator","Highschool diploma or GED",0.875,0.15,6118,5099,"plan2",4118
"s2_100",2,"kWh","WATER","15%","Not Rounded","Texas","Calculator","Highschool diploma or GED",0.875,0.15,5257,4396,"plan1",4257
"s2_100",2,"kWh","WATER","15%","Not Rounded","Texas","Calculator","Highschool diploma or GED",0.875,0.15,5257,4396,"plan2",3257
"s2_100",2,"kWh","REFRIG","15%","Not Rounded","Texas","Calculator","Highschool diploma or GED",0.875,0.15,2639,1318,"plan1",1638
"s2_100",2,"kWh","REFRIG","15%","Not Rounded","Texas","Calculator","Highschool diploma or GED",0.875,0.15,2639,1318,"plan2",1000
"s2_100",2,"kWh","OTHER","15%","Not Rounded","Texas","Calculator","Highschool diploma or GED",0.875,0.15,8459,7883,"plan1",7459
"s2_100",2,"kWh","OTHER","15%","Not Rounded","Texas","Calculator","Highschool diploma or GED",0.875,0.15,8459,7883,"plan2",6459
"s2_100",2,"kWh","TOTAL","15%","Not Rounded","Texas","Calculator","Highschool diploma or GED",0.875,0.15,29046,22945,"plan1",24046
"s2_100",2,"kWh","TOTAL","15%","Not Rounded","Texas","Calculator","Highschool diploma or GED",0.875,0.15,29046,22945,"plan2",19407
"s2_101",1,"kWh","AC","10%","Rounded","Colorado","Calculator","Some college",0.5,0.1,1000,498,"plan1",600
"s2_101",1,"kWh","AC","10%","Rounded","Colorado","Calculator","Some college",0.5,0.1,1000,498,"plan2",1000
"s2_101",1,"kWh","HEAT","10%","Rounded","Colorado","Calculator","Some college",0.5,0.1,18000,16411,"plan1",16000
