"","id","block","refClass","appliance","pct_goal","rounded","state","calc","age","gender","edu","duration","pct","family","state_avg","plan","value","change","state_dif"
"1","s2_1",1,"Percentage","AC","15%","Rounded","Colorado","Calculator",28,"Female","Some college",4864,0.15,1000,498,"plan1",1000,0,502
"2","s2_1",1,"Percentage","AC","15%","Rounded","Colorado","Calculator",28,"Female","Some college",4864,0.15,1000,498,"plan2",1000,0,502
"3","s2_1",1,"Percentage","HEAT","15%","Rounded","Colorado","Calculator",28,"Female","Some college",4864,0.15,18000,16411,"plan1",14000,-4000,-2411
"4","s2_1",1,"Percentage","HEAT","15%","Rounded","Colorado","Calculator",28,"Female","Some college",4864,0.15,18000,16411,"plan2",16000,-2000,-411
"5","s2_1",1,"Percentage","WATER","15%","Rounded","Colorado","Calculator",28,"Female","Some college",4864,0.15,12000,5832,"plan1",10000,-2000,4168
"6","s2_1",1,"Percentage","WATER","15%","Rounded","Colorado","Calculator",28,"Female","Some college",4864,0.15,12000,5832,"plan2",8000,-4000,2168
"7","s2_1",1,"Percentage","REFRIG","15%","Rounded","Colorado","Calculator",28,"Female","Some college",4864,0.15,1000,1142,"plan1",1000,0,-142
"8","s2_1",1,"Percentage","REFRIG","15%","Rounded","Colorado","Calculator",28,"Female","Some college",4864,0.15,1000,1142,"plan2",1000,0,-142
"9","s2_1",1,"Percentage","OTHER","15%","Rounded","Colorado","Calculator",28,"Female","Some college",4864,0.15,8000,6652,"plan1",8000,0,1348
"10","s2_1",1,"Percentage","OTHER","15%","Rounded","Colorado","Calculator",28,"Female","Some college",4864,0.15,8000,6652,"plan2",8000,0,1348
"11","s2_1",1,"Percentage","TOTAL","15%","Rounded","Colorado","Calculator",28,"Female","Some college",4864,0.15,40000,30535,"plan1",34000,-6000,3465
"12","s2_1",1,"Percentage","TOTAL","15%","Rounded","Colorado","Calculator",28,"Female","Some college",4864,0.15,40000,30535,"plan2",34000,-6000,3465
"13","s2_1",2,"Percentage","AC","10%","Not Rounded","Texas","Calculator",28,"Female","Some college",4864,0.1,6573,4249,"plan1",6000,-573,1751
"14","s2_1",2,"Percentage","AC","10%","Not Rounded","Texas","Calculator",28,"Female","Some college",4864,0.1,6573,4249,"plan2",5500,-1073,1251
"15","s2_1",2,"Percentage","HEAT","10%","Not Rounded","Texas","Calculator",28,"Female","Some college",4864,0.1,6118,5099,"plan1",6000,-118,901
"16","s2_1",2,"Percentage","HEAT","10%","Not Rounded","Texas","Calculator",28,"Female","Some college",4864,0.1,6118,5099,"plan2",5700,-418,601
"17","s2_1",2,"Percentage","WATER","10%","Not Rounded","Texas","Calculator",28,"Female","Some college",4864,0.1,5.257,4396,"plan1",5000,4994.743,604
"18","s2_1",2,"Percentage","WATER","10%","Not Rounded","Texas","Calculator",28,"Female","Some college",4864,0.1,5.257,4396,"plan2",5000,4994.743,604
"19","s2_1",2,"Percentage","REFRIG","10%","Not Rounded","Texas","Calculator",28,"Female","Some college",4864,0.1,2639,1318,"plan1",2000,-639,682
"20","s2_1",2,"Percentage","REFRIG","10%","Not Rounded","Texas","Calculator",28,"Female","Some college",4864,0.1,2639,1318,"plan2",2600,-39,1282
"21","s2_1",2,"Percentage","OTHER","10%","Not Rounded","Texas","Calculator",28,"Female","Some college",4864,0.1,8459,7883,"plan1",7100,-1359,-783
"22","s2_1",2,"Percentage","OTHER","10%","Not Rounded","Texas","Calculator",28,"Female","Some college",4864,0.1,8459,7883,"plan2",7300,-1159,-583
